Data;Último
09/05/2018;84265
08/05/2018;82956
07/05/2018;82714
04/05/2018;83118
03/05/2018;83288
02/05/2018;84547
30/04/2018;86115
27/04/2018;86445
26/04/2018;86383
25/04/2018;85044
24/04/2018;85469
23/04/2018;85602
20/04/2018;85550
19/04/2018;85824
18/04/2018;85776
17/04/2018;84086
16/04/2018;82862
13/04/2018;84334
12/04/2018;85444
11/04/2018;85246
10/04/2018;84510
09/04/2018;83307
06/04/2018;84820
05/04/2018;85210
04/04/2018;84360
03/04/2018;84623
02/04/2018;84666
29/03/2018;85366
28/03/2018;83874
27/03/2018;83808
26/03/2018;85088
23/03/2018;84377
22/03/2018;84768
21/03/2018;84977
20/03/2018;84164
19/03/2018;83913
16/03/2018;84886
15/03/2018;84928
14/03/2018;86051
13/03/2018;86384
12/03/2018;86900
09/03/2018;86371
08/03/2018;84985
07/03/2018;85484
06/03/2018;85653
05/03/2018;86023
02/03/2018;85761
01/03/2018;85378
28/02/2018;85481
27/02/2018;86935
26/02/2018;87653
23/02/2018;87293
22/02/2018;86686
21/02/2018;86052
20/02/2018;85804
19/02/2018;84793
16/02/2018;84525
15/02/2018;84291
14/02/2018;83543
09/02/2018;80899
08/02/2018;81533
07/02/2018;82767
06/02/2018;83894
05/02/2018;81861
02/02/2018;84041
01/02/2018;85495
31/01/2018;84913
30/01/2018;84482
29/01/2018;84698
26/01/2018;85531
24/01/2018;83680
23/01/2018;80678
22/01/2018;81675
19/01/2018;81220
18/01/2018;80963
17/01/2018;81189
16/01/2018;79832
15/01/2018;79752
12/01/2018;79349
11/01/2018;79365
10/01/2018;78201
09/01/2018;78864
08/01/2018;79379
05/01/2018;79071
04/01/2018;78647
03/01/2018;77995
02/01/2018;77891
29/12/2017;76402
28/12/2017;76402
27/12/2017;76073
26/12/2017;75688
22/12/2017;75187
21/12/2017;75133
20/12/2017;73367
19/12/2017;72680
18/12/2017;73115
15/12/2017;72608
14/12/2017;72429
13/12/2017;72914
12/12/2017;73814
11/12/2017;72800
08/12/2017;72732
